geoname_id,locale_code,continent_code,continent_name,country_name,city_name,is_in_european_union,ua_city_name
704679,en,EU,Europe,Ukraine,Podilsk,0,Подільськ
704705,en,EU,Europe,Ukraine,Kotelva,0,
704737,en,EU,Europe,Ukraine,Kostopil,0,
704759,en,EU,Europe,Ukraine,Kosovka,0,
704764,en,EU,Europe,Ukraine,Kosiv,0,Косів
704839,en,EU,Europe,Ukraine,Koryukivka,0,
704858,en,EU,Europe,Ukraine,Korsun-Shevchenkivskyy,0,
704881,en,EU,Europe,Ukraine,Korotych,0,
704885,en,EU,Europe,Ukraine,Korostyshiv,0,
704901,en,EU,Europe,Ukraine,Korosten,0,Коростень
704920,en,EU,Europe,Ukraine,Korolevo,0,
704938,en,EU,Europe,Ukraine,Korobivka,0,
704968,en,EU,Europe,Ukraine,Korets,0,
704978,en,EU,Europe,Ukraine,Kordelivka,0,
705016,en,EU,Europe,Ukraine,Kopychyntsi,0,
705104,en,EU,Europe,Ukraine,Kostyantynivka,0,
705117,en,EU,Europe,Ukraine,Kostiantynivka,0,
705135,en,EU,Europe,Ukraine,Konotop,0,Конотоп
705156,en,EU,Europe,Ukraine,Kinetspil,0,
705183,en,EU,Europe,Ukraine,Komsomol's'ke,0,
705262,en,EU,Europe,Ukraine,Komarov,0,
705270,en,EU,Europe,Ukraine,Komarhorod,0,
705295,en,EU,Europe,Ukraine,Kozelshchyna,0,
705392,en,EU,Europe,Ukraine,Kolomyia,0,Коломия
705431,en,EU,Europe,Ukraine,Kolodenka,0,
